title,author,date,views,likes,link
Innovations in sleep, Beautyrest,Jan-70,60000,1800,https://ted.com/talks/beautyrest_innovations_in_sleep
Love letters to what we hold dear,Debbie Millman,Jan-70,192000,5700,https://ted.com/talks/debbie_millman_love_letters_to_what_we_hold_dear
Why believe in others,Viktor Frankl,May-72,1300000,41000,https://ted.com/talks/viktor_frankl_why_believe_in_others
Physics is fun to imagine,Richard Feynman,Jul-83,690000,20000,https://ted.com/talks/richard_feynman_physics_is_fun_to_imagine
"5 predictions, from 1984",Nicholas Negroponte,Feb-84,1100000,33000,https://ted.com/talks/nicholas_negroponte_5_predictions_from_1984
My days as a young rebel,Frank Gehry,Mar-90,723000,21000,https://ted.com/talks/frank_gehry_my_days_as_a_young_rebel
Growing up in the universe,Richard Dawkins,Dec-91,327000,9800,https://ted.com/talks/richard_dawkins_growing_up_in_the_universe
Back to the future (of 1994),Danny Hillis,Feb-94,699000,20000,https://ted.com/talks/danny_hillis_back_to_the_future_of_1994
Why not make video games for girls?,Brenda Laurel,Feb-98,483000,14000,https://ted.com/talks/brenda_laurel_why_not_make_video_games_for_girls
Using design to make ideas new,Milton Glaser,Feb-98,488000,14000,https://ted.com/talks/milton_glaser_using_design_to_make_ideas_new
Changing my legs - and my mindset,Aimee Mullins,Feb-98,1300000,41000,https://ted.com/talks/aimee_mullins_changing_my_legs_and_my_mindset
Nature vs. humans,Paul MacCready,Feb-98,239000,7100,https://ted.com/talks/paul_maccready_nature_vs_humans
Life in the deep oceans,David Gallo,Feb-98,1100000,34000,https://ted.com/talks/david_gallo_life_in_the_deep_oceans
On technology and faith,Billy Graham,Feb-98,3800000,116000,https://ted.com/talks/billy_graham_on_technology_and_faith
Poetry of youth and age,C.K. Williams,01-Feb,303000,9100,https://ted.com/talks/c_k_williams_poetry_of_youth_and_age
The difference between winning and succeeding,John Wooden,01-Feb,7000000,210000,https://ted.com/talks/john_wooden_the_difference_between_winning_and_succeeding
The playful search for beauty,Eva Zeisel,01-Feb,527000,15000,https://ted.com/talks/eva_zeisel_the_playful_search_for_beauty
How electroshock therapy changed me,Sherwin Nuland,01-Feb,2200000,66000,https://ted.com/talks/sherwin_nuland_how_electroshock_therapy_changed_me
"Parrots, the universe and everything",Douglas Adams,01-May,500000,15000,https://ted.com/talks/douglas_adams_parrots_the_universe_and_everything
Teach arts and sciences together,Mae Jemison,02-Feb,964000,28000,https://ted.com/talks/mae_jemison_teach_arts_and_sciences_together
Comics of bygone New York,Ben Katchor,02-Feb,337000,10000,https://ted.com/talks/ben_katchor_comics_of_bygone_new_york
Rethinking the way we sit down,Niels Diffrient,02-Feb,627000,18000,https://ted.com/talks/niels_diffrient_rethinking_the_way_we_sit_down
A theory of everything,Emily Levine,02-Feb,2600000,80000,https://ted.com/talks/emily_levine_a_theory_of_everything
"Scenes from ""My Architect""",Nathaniel Kahn,02-Feb,411000,12000,https://ted.com/talks/nathaniel_kahn_scenes_from_my_architect
"The Airstream, restyled",Christopher C. Deam,02-Feb,346000,10000,https://ted.com/talks/christopher_c_deam_the_airstream_restyled
Play! Experiment! Discover!,Kary Mullis,02-Feb,691000,20000,https://ted.com/talks/kary_mullis_play_experiment_discover
The camel's hump,Keith Bellows,02-Feb,225000,6700,https://ted.com/talks/keith_bellows_the_camel_s_hump
Robots inspired by cockroach ingenuity,Robert Full,02-Feb,1100000,34000,https://ted.com/talks/robert_full_robots_inspired_by_cockroach_ingenuity
Juggle and jest,Raspyni Brothers,02-Feb,866000,26000,https://ted.com/talks/raspyni_brothers_juggle_and_jest
The story of Project Orion,George Dyson,02-Feb,863000,25000,https://ted.com/talks/george_dyson_the_story_of_project_orion
The untouchable music of the theremin,Pamelia Kurstin,02-Feb,2200000,67000,https://ted.com/talks/pamelia_kurstin_the_untouchable_music_of_the_theremin
An illustrated journey through Rome,David Macaulay,02-Feb,785000,23000,https://ted.com/talks/david_macaulay_an_illustrated_journey_through_rome
TED's nonprofit transition,Chris Anderson,02-Feb,388000,11000,https://ted.com/talks/chris_anderson_ted_s_nonprofit_transition
"Rebuilding a neighborhood with beauty, dignity, hope",Bill Strickland,02-Feb,763000,22000,https://ted.com/talks/bill_strickland_rebuilding_a_neighborhood_with_beauty_dignity_hope
"A master architect asks, Now what?",Frank Gehry,02-Feb,1100000,33000,https://ted.com/talks/frank_gehry_a_master_architect_asks_now_what
10 ways the world could end,Stephen Petranek,02-Feb,1900000,59000,https://ted.com/talks/stephen_petranek_10_ways_the_world_could_end
Dangerous memes,Dan Dennett,02-Feb,2000000,61000,https://ted.com/talks/dan_dennett_dangerous_memes
A memorial at Ground Zero,David Rockwell,02-Feb,463000,13000,https://ted.com/talks/david_rockwell_a_memorial_at_ground_zero
Human-centered design,David Kelley,02-Feb,1100000,35000,https://ted.com/talks/david_kelley_human_centered_design
Cape Breton fiddling in reel time,Natalie MacMaster,02-Feb,854000,25000,https://ted.com/talks/natalie_macmaster_cape_breton_fiddling_in_reel_time
Militant atheism,Richard Dawkins,02-Feb,6400000,192000,https://ted.com/talks/richard_dawkins_militant_atheism
Great cars are great art,Chris Bangle,02-Feb,1000000,30000,https://ted.com/talks/chris_bangle_great_cars_are_great_art
To invent is to give,Dean Kamen,02-Feb,824000,24000,https://ted.com/talks/dean_kamen_to_invent_is_to_give
Juggling as art ... and science,Michael Moschen,02-Mar,1000000,32000,https://ted.com/talks/michael_moschen_juggling_as_art_and_science
Building uniqueness,Moshe Safdie,02-Mar,635000,19000,https://ted.com/talks/moshe_safdie_building_uniqueness
Anti-gravity sculpture,Tom Shannon,03-Feb,1300000,40000,https://ted.com/talks/tom_shannon_anti_gravity_sculpture
To upgrade is human,Gregory Stock,03-Feb,562000,16000,https://ted.com/talks/gregory_stock_to_upgrade_is_human
3 ways good design makes you happy,Don Norman,03-Feb,2100000,64000,https://ted.com/talks/don_norman_3_ways_good_design_makes_you_happy
A solar energy system that tracks the sun,Bill Gross,03-Feb,744000,22000,https://ted.com/talks/bill_gross_a_solar_energy_system_that_tracks_the_sun
Fiddling in reel time,Natalie MacMaster,03-Feb,1500000,47000,https://ted.com/talks/natalie_macmaster_fiddling_in_reel_time
The extraordinary power of ordinary people,Sherwin Nuland,03-Feb,596000,17000,https://ted.com/talks/sherwin_nuland_the_extraordinary_power_of_ordinary_people
Design and discovery,David Carson,03-Feb,977000,29000,https://ted.com/talks/david_carson_design_and_discovery
Science and democracy,Lee Smolin,03-Feb,322000,9600,https://ted.com/talks/lee_smolin_science_and_democracy
Why do societies collapse?,Jared Diamond,03-Feb,2900000,88000,https://ted.com/talks/jared_diamond_why_do_societies_collapse
The face of AIDS in Africa,Kristen Ashburn,03-Feb,496000,14000,https://ted.com/talks/kristen_ashburn_the_face_of_aids_in_africa
Playing invisible turntables,James Burchfield,03-Feb,877000,26000,https://ted.com/talks/james_burchfield_playing_invisible_turntables
The Web as a city,Steven Johnson,03-Feb,415000,12000,https://ted.com/talks/steven_johnson_the_web_as_a_city
Politics and religion are technologies,Noah Feldman,03-Feb,461000,13000,https://ted.com/talks/noah_feldman_politics_and_religion_are_technologies
Robots will invade our lives,Rodney Brooks,03-Feb,710000,21000,https://ted.com/talks/rodney_brooks_robots_will_invade_our_lives
Human nature and the blank slate,Steven Pinker,03-Feb,1600000,49000,https://ted.com/talks/steven_pinker_human_nature_and_the_blank_slate
Health and the human mind,Marvin Minsky,03-Feb,639000,19000,https://ted.com/talks/marvin_minsky_health_and_the_human_mind
A tour of modern architecture,Reed Kroloff,03-Feb,328000,9800,https://ted.com/talks/reed_kroloff_a_tour_of_modern_architecture
Let's look for life in the outer solar system,Freeman Dyson,03-Feb,1100000,34000,https://ted.com/talks/freeman_dyson_let_s_look_for_life_in_the_outer_solar_system
